string_index,name
151,17:METALGARURUMON#ATTACK
152,18:EVOLUTION(PLAY#MODE)
153,19:MATRIX#EVOLUTION(PLAY#MODE)
154,20:DAMAGE-2
155,21:EASY#MINIGAME
156,22:HIT+2
157,23:FAST#ATTACK#HIT2
158,24:HIT+2
159,25:FAST#ATTACK#HIT3
160,26:DAMAGE-3
161,27:PERFECT#DODGE
162,28:HIT+3
163,29:HP#RECOVERY
164,30:MATRIX#EVOLUTION(PLAY#MODE)
165,31:HIT+2
166,32:HIT+3
167,33:LADYDEVIMON#ATTACK
168,34:YUKIDARUMON#ATTACK
169,35:PERFECT#DODGE
170,36:DAMAGE-3
171,37:-(PLAY#MODE)
172,38:FAST#ATTACK#HIT2
173,39:DAMAGE-2
174,40:SHELLMON#ATTACK
175,41:#
176,42:#
177,#
178,#
179,#
180,#
181,#
182,#
183,#
184,#
185,#
186,#
187,#
188,#
189,#
190,#
191,#
192,#
193,#
194,#
195,#
196,#
197,#
198,#
199,#
200,#
201,#
202,#
203,#
204,#
205,#
206,#
207,#
208,#
209,#
210,#
211,#
212,#
213,#
214,#
215,#
216,#
217,#
218,#
219,GUILMON
220,GROWMON
221,MEGALOGROWMON
222,DUKEMON
223,MEGIDRAMON
224,DUKEMON<0057>GRANI
225,DUKEMON:CRIMSONMODE
226,RENAMON
227,KYUBIMON
228,TAOMON
229,SAKUYAMON
230,TERRIERMON
231,GALGOMON
232,RAPIDMON
233,SAINTGALGOMON
234,IMPMON
235,BEELZEBUMON
236,BEELZEBUMON<0057>BEHEMOTH
237,BEELZEBUMON:BLASTMODE
238,CYBERDRAMON
239,JUSTIMON
240,LEOMON
241,GUARDROMON
242,ANDROMON
243,MARINANGEMON
244,LOPMON
245,ANDIRAMON
246,LABRAMON
247,SIESAMON
248,GOBURIMON
249,HAGURUMON
250,OTAMAMON
251,BAKUMON
252,KOKUWAMON
253,FUGAMON
254,GORIMON
255,EVILMON
256,DOKUGUMON
257,DEVIDRAMON
258,ICEDEVIMON
259,MUSYAMON
260,DARKLIZAMON
261,MERAMON
262,TUCHIDARUMON
263,CLOCKMON
264,DOGMON
265,GEKOMON
266,WOODMON
267,CHRYSALIMON
268,KIWIMON
269,EBIDRAMON
270,DOBERMON
271,LYNXMON
272,ALLOMON
273,FLYBEEMON
274,HARPYMON
275,TYLOMON
276,MANTARAYMON
277,DEPTHMON
278,ARCHELOMON
279,PONCHOMON
280,PIPISMON
281,SEPIKMON
282,PTERANOMON
283,BAROMON
284,MIHIRAMON
285,SANDIRAMON
286,SINDURAMON
287,PAJIRAMON
288,VAJRAMON
289,INDARAMON
290,KUMBHIRAMON
291,VIKARALAMON
292,MAKURAMON
293,CATURAMON
294,MAJIRAMON
295,JYAGAMON
296,MEGADRAMON
297,KNIGHTMON
298,JYUREIMON
299,INFERMON
300,OROCHIMON
301,HANGYOMON
302,ANOMALOCARIMON
303,BLUEMERAMON
304,METALTYRANOMON
305,MEPHISMON
306,LOCOMON
307,JIJIMON
308,BABAMON
309,ZHUQIAOMON
310,QINGLONGMON
311,XUANWUMON
312,BAIHUMON
313,DIABLOMON
314,METALSEADRAMON
315,MUGENDRAMON
316,GRANKUWAGAMON
317,HOUOUMON
318,GRIFFOMON
319,BOLTMON
320,PLESIOMON
321,OMEGAMON
322,GULFMON
323,PARASIMON
324,GRANDLOCOMON
325,RUKI#MAKINO#(PARASIMON)
326,ADR-01#JURI
327,ADR-01#JURI
328,ADR-02#SEARCHER
329,ADR-03#PENDULUM#FEET
330,ADR-04#BUBBLES
331,ADR-05#CREEP#HANDS
332,ADR-06#HORN#STRIKER
333,ADR-07#PALATES#HEAD
334,ADR-08#OPTIMIZER
335,ADR-09#GATEKEEPER
336,MOTHER#D-REAPER
337,REAPER
