area_id,region_id,map_id,steps,encounter_type,friend_digimon_id,skip1,skip2,skip3,skip4,skip5,skip6,skip7,skip8,encounter_type_2,friend_digimon_id_2,enemy_stage,battle_type,shake_mash_follow_win_count,friend_digimon_id_3,min_stage_req,unknown1,unknown2,unknown3,digital_gate_open,boss_cut_scene_id
8,51,8,500,1,25,127,127,127,127,127,127,127,127,1,25,2,0,13,25,1,0,53,999,0,6
8,52,8,500,3,21,127,127,127,127,127,127,127,127,3,21,2,2,4,21,1,51,999,999,0,6
9,53,9,300,0,26,127,127,127,127,127,127,127,127,0,26,2,1,11,26,1,41,54,999,1,6
9,54,9,400,5,57345,7,7,7,7,7,7,7,127,5,57345,6,3,0,127,6,18,55,999,0,6
9,55,9,500,0,27,127,127,127,127,127,127,127,127,0,27,2,2,4,27,1,63,56,59,0,6
9,56,9,500,9,57345,13,13,13,13,13,13,13,127,0,18,2,1,11,18,1,19,57,999,0,6
9,57,9,500,0,25,127,127,127,127,127,127,127,127,0,25,2,0,11,25,1,43,58,999,0,6
9,58,9,500,1,28,127,127,127,127,127,127,127,127,1,28,3,1,13,28,2,0,60,999,0,6
9,59,9,500,3,4,127,127,127,127,127,127,127,127,3,4,2,2,4,4,1,14,999,999,0,6
10,60,10,300,4,57345,7,7,7,7,7,7,7,127,4,57345,6,3,0,127,6,42,61,999,1,6
10,61,10,400,0,29,127,127,127,127,127,127,127,127,0,29,2,2,4,29,1,63,62,64,0,6
10,62,10,500,5,57345,8,8,8,8,8,8,8,127,5,57345,6,3,0,127,6,44,63,999,0,6
10,63,10,500,1,28,127,127,127,127,127,127,127,127,1,28,3,0,13,28,2,0,65,999,0,6
10,64,10,500,3,15,127,127,127,127,127,127,127,127,3,15,2,1,13,15,1,39,999,999,0,6
11,65,11,300,7,57345,5,5,0,2,3,4,2,127,0,26,2,2,4,26,1,43,66,999,1,6
11,66,11,400,8,31,127,127,127,127,127,127,127,31,8,31,6,3,0,31,6,63,67,69,0,6
11,67,11,500,4,57345,9,9,9,9,9,9,9,127,4,57345,6,3,0,127,6,22,68,999,0,6
11,68,11,500,1,30,127,127,127,127,127,127,127,127,1,30,2,1,13,30,1,0,70,999,0,6
11,69,11,500,3,6,127,127,127,127,127,127,127,127,3,6,2,0,13,6,1,38,999,999,0,6
12,70,12,300,6,57345,3,3,3,5,3,3,3,127,0,56,1,2,4,56,1,23,71,999,0,6
12,71,12,400,8,32,127,127,127,127,127,127,127,32,8,32,6,3,0,32,6,63,72,74,0,6
12,72,12,500,4,57345,5,5,5,5,5,3,5,127,0,77,2,1,11,77,1,44,73,999,0,6
12,73,12,500,1,33,127,127,127,127,127,127,127,127,1,33,2,2,4,33,2,0,75,999,0,0
12,74,12,500,3,27,127,127,127,127,127,127,127,127,3,27,2,0,13,27,1,37,999,999,0,6
13,75,13,300,5,57345,11,11,11,11,11,11,11,127,5,57345,6,3,0,127,6,43,76,999,1,6
13,76,13,400,8,36,127,127,127,127,127,127,127,36,8,36,6,3,0,36,6,36,77,999,0,6
13,77,13,500,0,35,127,127,127,127,127,127,127,127,0,35,2,0,11,35,1,63,78,79,0,6
13,78,13,500,1,34,127,127,127,127,127,127,127,127,1,34,3,1,13,34,2,0,80,999,0,6
13,79,13,500,3,14,127,127,127,127,127,127,127,127,3,14,2,2,4,14,1,36,999,999,0,6
14,80,14,300,0,16,127,127,127,127,127,127,127,127,0,16,2,2,4,16,1,26,81,999,1,6
14,81,14,400,0,38,127,127,127,127,127,127,127,127,0,38,1,0,11,38,1,37,82,999,0,6
14,82,14,500,0,39,127,127,127,127,127,127,127,127,0,39,1,1,11,39,1,63,83,85,0,6
14,83,14,500,0,40,127,127,127,127,127,127,127,127,0,40,2,2,4,40,1,44,84,999,0,6
14,84,14,500,1,37,127,127,127,127,127,127,127,127,1,37,3,0,13,37,2,0,86,999,0,6
14,85,14,500,3,26,127,127,127,127,127,127,127,127,3,26,2,1,13,26,1,35,999,999,0,6
15,86,15,300,6,57345,2,2,3,4,5,0,4,127,0,27,2,2,4,27,1,39,87,999,1,6
15,87,15,400,8,42,127,127,127,127,127,127,127,42,8,42,6,3,0,42,6,63,88,89,0,6
15,88,15,500,1,41,127,127,127,127,127,127,127,127,1,41,3,1,13,41,2,0,90,999,0,6
15,89,15,500,3,33,127,127,127,127,127,127,127,127,3,33,2,0,13,33,1,34,999,999,0,6
16,90,16,300,0,44,127,127,127,127,127,127,127,127,0,44,2,2,4,44,1,27,91,999,1,6
16,91,16,400,0,43,127,127,127,127,127,127,127,127,0,43,2,0,11,43,1,1,92,999,0,6
16,92,16,500,0,22,127,127,127,127,127,127,127,127,0,22,2,1,11,22,1,63,93,95,0,6
16,93,16,500,9,57345,13,13,13,13,13,13,13,127,0,25,2,2,4,25,1,44,94,999,0,6
16,94,16,1000,1,45,127,127,127,127,127,127,127,127,1,45,3,0,13,45,3,0,96,999,0,1
16,95,16,500,3,24,127,127,127,127,127,127,127,127,3,24,3,1,13,24,2,33,999,999,0,6
17,96,17,300,4,57345,14,14,14,14,14,14,0,127,0,10,2,2,4,10,1,43,97,999,0,6
17,97,17,400,8,46,127,127,127,127,127,127,127,46,8,46,6,3,0,46,1,2,98,999,0,6
17,98,17,500,0,47,127,127,127,127,127,127,127,127,0,47,2,0,11,47,1,63,99,102,0,6
17,99,17,500,6,57345,14,14,14,14,14,14,0,127,0,11,2,2,4,11,1,44,100,999,0,6
17,100,17,500,0,48,127,127,127,127,127,127,127,127,0,48,3,1,11,48,2,3,101,999,0,6
17,101,17,1000,1,49,127,127,127,127,127,127,127,127,1,49,4,2,4,49,3,0,103,999,0,2
17,102,17,500,3,45,127,127,127,127,127,127,127,127,3,45,3,1,13,45,2,32,999,999,0,6
18,103,18,300,0,50,127,127,127,127,127,127,127,127,0,50,2,0,11,50,1,4,104,999,1,6
18,104,19,400,0,51,127,127,127,127,127,127,127,127,0,51,2,1,11,51,1,63,105,110,0,6
18,105,19,500,5,57345,4,4,5,0,2,3,0,127,0,35,2,0,11,35,1,44,106,999,0,6
18,106,20,500,0,5,127,127,127,127,127,127,127,127,0,5,2,2,4,5,1,53,107,999,0,6
18,107,20,500,8,52,127,127,127,127,127,127,127,52,8,52,6,3,0,52,6,5,108,999,0,6
18,108,20,500,4,57345,11,11,11,11,11,11,11,127,4,57345,6,3,0,127,6,6,109,999,0,6
18,109,20,500,1,53,127,127,127,127,127,127,127,127,1,53,2,0,13,53,1,0,111,999,0,6
18,110,18,500,3,37,127,127,127,127,127,127,127,127,3,37,3,2,4,37,2,28,999,999,0,6
19,111,21,300,0,54,127,127,127,127,127,127,127,127,0,54,2,1,11,54,1,63,112,114,1,6
19,112,21,400,7,57345,1,0,1,1,1,1,1,127,0,70,2,0,11,70,1,43,113,999,0,6
19,113,21,500,1,55,127,127,127,127,127,127,127,127,1,55,3,2,4,55,2,0,115,999,0,6
19,114,21,500,3,44,127,127,127,127,127,127,127,127,3,44,2,1,13,44,1,42,999,999,0,6
20,115,22,300,0,18,127,127,127,127,127,127,127,127,0,18,2,0,11,18,1,9,116,999,1,6
20,116,22,400,0,29,127,127,127,127,127,127,127,127,0,29,2,1,11,29,1,63,117,120,0,6
20,117,22,500,0,5,127,127,127,127,127,127,127,127,0,5,2,2,4,5,1,10,118,999,0,6
20,118,22,500,0,56,127,127,127,127,127,127,127,127,0,56,1,0,11,56,1,44,119,999,0,6
20,119,22,500,1,43,127,127,127,127,127,127,127,127,1,43,2,1,13,43,1,0,121,999,0,6
20,120,22,500,3,55,127,127,127,127,127,127,127,127,3,55,3,2,4,55,2,32,999,999,0,6
21,121,22,300,6,57345,3,0,4,5,1,2,3,127,0,22,2,0,11,22,1,43,122,999,1,6
21,122,22,400,10,57345,15,15,15,15,15,15,15,127,10,57345,6,3,0,127,6,12,123,999,0,6
21,123,22,500,0,58,127,127,127,127,127,127,127,127,0,58,3,2,4,58,2,63,124,125,0,6
21,124,22,500,1,57,127,127,127,127,127,127,127,127,1,57,3,0,13,57,2,0,126,999,0,6
21,125,22,500,3,53,127,127,127,127,127,127,127,127,3,53,2,1,13,53,1,16,999,999,0,6
22,126,23,300,5,57345,5,3,1,2,0,4,5,127,0,44,2,0,11,44,1,63,127,129,1,6
22,127,23,400,10,57345,15,15,15,15,15,15,15,127,10,57345,6,3,0,127,6,44,128,999,0,6
22,128,23,500,1,59,127,127,127,127,127,127,127,127,1,59,4,2,4,59,3,0,130,999,0,6
22,129,23,500,3,54,127,127,127,127,127,127,127,127,3,54,2,0,13,54,1,17,999,999,0,6
23,130,24,300,6,57345,3,3,3,2,3,3,3,127,0,14,2,2,4,14,1,63,131,133,0,6
23,131,24,400,6,57345,2,2,3,2,2,2,2,127,0,4,2,1,11,4,1,43,132,999,0,6
23,132,24,500,1,60,127,127,127,127,127,127,127,127,1,60,3,2,4,60,2,0,134,999,0,6
23,133,24,500,3,41,127,127,127,127,127,127,127,127,3,41,3,1,13,41,2,18,999,999,0,6
24,134,25,300,0,61,127,127,127,127,127,127,127,127,0,61,3,0,11,61,2,16,135,999,1,6
24,135,25,400,0,57,127,127,127,127,127,127,127,127,0,57,3,1,11,57,2,63,136,138,0,6
24,136,25,500,0,58,127,127,127,127,127,127,127,127,0,58,3,2,4,58,2,44,137,999,0,6
24,137,25,500,1,62,127,127,127,127,127,127,127,127,1,62,3,0,13,62,2,0,139,999,0,6
24,138,25,500,3,51,127,127,127,127,127,127,127,127,3,51,2,2,4,51,1,20,999,999,0,6
25,139,26,300,4,57345,2,2,0,2,2,2,2,127,0,50,2,0,11,50,1,43,140,999,0,6
25,140,26,400,0,63,127,127,127,127,127,127,127,127,0,63,2,1,11,63,1,63,141,142,0,6
25,141,26,500,1,64,127,127,127,127,127,127,127,127,1,64,2,2,4,64,1,0,143,999,0,6
25,142,26,500,3,40,127,127,127,127,127,127,127,127,3,40,2,0,13,40,1,28,999,999,0,6
26,143,27,300,8,65,127,127,127,127,127,127,127,65,8,65,6,3,0,65,6,19,144,999,1,6
26,144,27,400,7,57345,2,5,0,4,3,1,2,127,0,27,2,1,11,27,1,63,145,146,0,6
26,145,27,500,1,59,127,127,127,127,127,127,127,127,1,59,4,0,13,59,3,0,147,999,0,6
26,146,27,500,3,41,127,127,127,127,127,127,127,127,3,41,3,2,4,41,2,22,999,999,0,6
27,147,28,300,8,66,127,127,127,127,127,127,127,66,8,66,6,3,0,66,6,43,148,999,1,6
27,148,28,400,10,57345,15,15,15,15,15,15,15,127,10,57345,6,3,0,127,6,20,149,999,0,6
27,149,28,500,0,58,127,127,127,127,127,127,127,127,0,58,3,1,11,58,2,63,150,154,0,6
27,150,28,500,0,57,127,127,127,127,127,127,127,127,0,57,3,2,4,57,2,54,151,999,0,6
27,151,28,500,8,34,127,127,127,127,127,127,127,34,8,34,6,3,0,34,6,55,152,999,0,6
27,152,28,500,8,67,127,127,127,127,127,127,127,67,8,67,6,3,0,67,6,21,153,999,0,6
27,153,28,500,1,59,127,127,127,127,127,127,127,127,1,59,4,1,13,59,3,0,155,999,0,6
27,154,28,500,3,60,127,127,127,127,127,127,127,127,3,60,3,0,13,60,2,24,999,999,0,6
28,155,29,300,0,22,127,127,127,127,127,127,127,127,0,22,2,1,11,22,1,23,156,999,0,6
28,156,29,400,0,3,127,127,127,127,127,127,127,127,0,3,2,2,4,3,1,24,157,999,0,6
28,157,29,500,0,70,127,127,127,127,127,127,127,127,0,70,2,0,11,70,1,44,158,999,0,6
28,158,29,500,0,5,127,127,127,127,127,127,127,127,0,5,2,1,11,5,1,25,159,999,0,6
28,159,29,500,0,25,127,127,127,127,127,127,127,127,0,25,2,2,4,25,1,63,160,163,0,6
28,160,29,500,0,71,127,127,127,127,127,127,127,127,0,71,3,0,11,71,2,26,161,999,0,6
28,161,29,500,0,69,127,127,127,127,127,127,127,127,0,69,3,1,11,69,2,31,162,999,0,6
28,162,29,500,1,68,127,127,127,127,127,127,127,127,1,68,3,2,4,68,2,0,164,999,0,6
28,163,29,500,3,28,127,127,127,127,127,127,127,127,3,28,3,0,13,28,2,27,999,999,0,6
29,164,30,300,8,73,127,127,127,127,127,127,127,73,8,73,6,3,0,73,6,33,165,999,0,6
29,165,30,400,8,74,127,127,127,127,127,127,127,74,8,74,6,3,0,74,6,63,166,167,0,6
29,166,30,500,1,72,127,127,127,127,127,127,127,127,1,72,3,0,13,72,2,0,168,999,0,6
29,167,30,500,3,30,127,127,127,127,127,127,127,127,3,30,2,2,4,30,1,21,999,999,0,6
30,168,31,300,8,75,127,127,127,127,127,127,127,75,8,75,6,3,0,75,1,63,169,171,0,6
30,169,31,400,4,57345,4,2,3,1,5,0,4,127,0,53,2,0,11,53,1,44,170,999,0,6
30,170,31,500,1,7,127,127,127,127,127,127,127,127,1,7,2,1,13,7,1,0,172,999,0,6
30,171,31,500,3,71,127,127,127,127,127,127,127,127,3,71,3,0,13,71,2,25,999,999,0,6
31,172,32,300,0,77,127,127,127,127,127,127,127,127,0,77,2,2,4,77,1,35,173,999,0,6
31,173,32,400,0,14,127,127,127,127,127,127,127,127,0,14,2,0,11,14,1,63,174,177,0,6
31,174,32,500,0,15,127,127,127,127,127,127,127,127,0,15,2,1,11,15,1,43,175,999,0,6
31,175,32,500,8,76,127,127,127,127,127,127,127,76,8,76,6,3,0,76,6,15,176,999,0,6
31,176,32,500,1,78,127,127,127,127,127,127,127,127,1,78,3,2,4,78,2,0,178,999,0,6
31,177,32,500,3,69,127,127,127,127,127,127,127,127,3,69,3,1,13,69,2,47,999,999,0,6
32,178,33,300,0,79,127,127,127,127,127,127,127,127,0,79,3,0,11,79,2,38,179,999,0,6
32,179,33,400,0,80,127,127,127,127,127,127,127,127,0,80,3,1,11,80,2,46,180,999,0,6
32,180,33,500,0,81,127,127,127,127,127,127,127,127,0,81,3,2,4,81,2,63,181,183,0,6
32,181,33,500,8,38,127,127,127,127,127,127,127,38,8,38,6,3,0,38,6,44,182,999,0,6
32,182,33,500,1,82,127,127,127,127,127,127,127,127,1,82,3,0,13,82,2,0,184,999,0,6
32,183,33,500,3,62,127,127,127,127,127,127,127,127,3,62,3,2,4,62,2,48,999,999,0,6
33,184,34,300,0,43,127,127,127,127,127,127,127,127,0,43,2,1,11,43,1,63,185,187,0,6
33,185,34,400,6,57345,1,4,5,0,2,3,1,127,0,71,3,0,11,71,2,43,186,999,0,6
33,186,34,500,1,54,127,127,127,127,127,127,127,127,1,54,2,2,4,54,1,0,188,999,0,6
33,187,34,500,3,72,127,127,127,127,127,127,127,127,3,72,3,0,13,72,2,49,999,999,0,6
34,188,35,300,8,70,127,127,127,127,127,127,127,70,8,70,6,3,0,70,6,63,189,191,0,6
34,189,35,400,7,57345,3,0,4,5,1,2,3,127,0,15,2,1,11,15,1,57,190,999,0,6
34,190,35,500,1,29,127,127,127,127,127,127,127,127,1,29,2,0,13,29,1,0,192,999,0,6
34,191,35,500,3,13,127,127,127,127,127,127,127,127,3,13,2,2,4,13,1,56,999,999,0,6
35,192,36,300,0,83,127,127,127,127,127,127,127,127,0,83,3,1,11,83,2,63,193,195,0,6
35,193,36,400,0,84,127,127,127,127,127,127,127,127,0,84,3,2,4,84,2,43,194,999,0,6
35,194,36,500,1,85,127,127,127,127,127,127,127,127,1,85,3,0,13,85,2,0,196,999,0,6
35,195,36,500,3,68,127,127,127,127,127,127,127,127,3,68,3,2,4,68,2,53,999,999,0,6
36,196,37,300,0,83,127,127,127,127,127,127,127,127,0,83,3,1,11,83,2,63,197,199,0,6
36,197,37,400,5,57345,5,3,1,2,0,4,5,127,0,69,3,0,11,69,2,44,198,999,0,6
36,198,37,500,1,84,127,127,127,127,127,127,127,127,1,84,3,2,4,84,2,0,200,999,0,6
36,199,37,500,3,78,127,127,127,127,127,127,127,127,3,78,3,0,13,78,2,54,999,999,0,6
37,200,38,300,6,57345,2,5,0,4,3,1,2,127,0,61,3,1,11,61,2,43,201,999,0,6
37,201,38,400,11,57345,16,16,16,16,16,16,16,127,11,57345,6,3,0,127,6,63,202,203,0,6
37,202,38,500,1,86,127,127,127,127,127,127,127,127,1,86,4,0,13,86,3,0,204,999,0,6
37,203,38,500,3,85,127,127,127,127,127,127,127,127,3,85,3,1,13,85,2,55,999,999,0,6
38,204,39,300,4,57345,7,7,7,7,7,7,7,127,4,57345,6,3,0,127,6,44,205,999,0,6
38,205,39,400,11,57345,16,16,16,16,16,16,16,127,11,57345,6,3,0,127,6,50,206,999,0,6
38,206,39,500,0,58,127,127,127,127,127,127,127,127,0,58,3,1,11,58,2,63,207,209,0,6
38,207,39,500,0,57,127,127,127,127,127,127,127,127,0,57,3,2,4,57,2,51,208,999,0,6
38,208,39,500,1,59,127,127,127,127,127,127,127,127,1,59,4,0,13,59,3,0,210,999,0,6
38,209,39,500,3,84,127,127,127,127,127,127,127,127,3,84,3,1,13,84,2,34,999,999,0,6
39,210,40,300,5,57345,4,2,3,1,5,0,4,127,0,68,3,0,11,68,2,43,211,999,0,6
39,211,40,400,11,57345,16,16,16,16,16,16,16,127,11,57345,6,3,0,127,6,63,212,213,0,6
39,212,40,1000,1,59,127,127,127,127,127,127,127,127,1,59,4,2,4,59,3,0,214,999,0,3
39,213,40,500,3,86,127,127,127,127,127,127,127,127,3,86,4,0,13,86,3,30,999,999,0,6
40,214,41,300,0,58,127,127,127,127,127,127,127,127,0,58,3,1,11,58,2,63,215,218,0,6
40,215,41,400,0,57,127,127,127,127,127,127,127,127,0,57,3,0,11,57,2,63,216,219,0,6
40,216,41,500,11,57345,16,16,16,16,16,16,16,127,11,57345,6,3,0,127,6,44,217,999,0,6
40,217,41,500,1,87,127,127,127,127,127,127,127,127,1,87,5,1,14,87,3,0,220,999,0,6
40,218,41,500,3,58,127,127,127,127,127,127,127,127,3,58,3,2,4,58,2,29,999,999,0,6
40,219,41,500,3,57,127,127,127,127,127,127,127,127,3,57,3,0,13,57,2,40,999,999,0,6
41,220,42,2000,1,87,127,127,127,127,127,127,127,127,1,87,5,2,5,87,3,0,221,999,0,4
42,221,43,300,0,88,127,127,127,127,127,127,127,127,0,88,1,2,4,88,1,56,222,999,0,6
42,222,43,400,0,89,127,127,127,127,127,127,127,127,0,89,4,1,11,89,3,57,223,999,0,6
42,223,43,2000,1,90,127,127,127,127,127,127,127,127,1,90,5,0,14,90,3,0,999,999,0,5
