cluster,offset_hex,evo_id,scene,expected_color_id_guess,near_small_values,bytes_before,bytes_after
cluster_A_many_evo_ids_probably_menu_or_logic,0x094805,512,tsunomon_to_gabumon,2,-8:2 -2:4 -1:8 +3:1 +5:5 +9:1 +18:2,02 00 00 2E A0 B3 04 08,00 01 00 05 00 0C 00 01 00 FF FF 30 00 63 00 18
cluster_A_many_evo_ids_probably_menu_or_logic,0x094816,536,wargreymon_metalgarurumon_omegamon,99,-12:5 -8:1 +7:4 +8:9 +12:1 +18:2,01 00 FF FF 30 00 63 00,00 00 0F 00 DD 04 09 00 0A 00 01 00 00 00 0D 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094827,512,tsunomon_to_gabumon,2,-10:4 -9:9 -5:1 +19:3 +23:1,00 0A 00 01 00 00 00 0D,00 00 00 0C 00 6A 00 00 00 00 00 00 00 00 00 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094841,512,tsunomon_to_gabumon,2,-7:3 -3:1 +5:2 +7:4 +9:1 +10:2 +16:4 +17:9 +19:3 +23:2,00 03 00 00 00 01 00 0E,00 00 00 02 00 04 00 01 02 00 00 93 A0 D3 04 09
cluster_A_many_evo_ids_probably_menu_or_logic,0x094845,512,tsunomon_to_gabumon,2,-11:3 -7:1 -3:2 +3:4 +5:1 +6:2 +12:4 +13:9 +15:3 +19:2 +23:2,00 01 00 0E 00 02 00 00,00 04 00 01 02 00 00 93 A0 D3 04 09 00 03 00 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x09484A,513,pyocomon_to_piyomon,3,-12:1 -8:2 -4:2 -2:4 +7:4 +8:9 +10:3 +14:2 +18:2 +20:5,02 00 00 00 02 00 04 00,00 00 93 A0 D3 04 09 00 03 00 00 00 02 00 0F 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094857,512,tsunomon_to_gabumon,2,-12:2 -6:4 -5:9 -3:3 +5:2 +7:5 +13:8 +14:2 +20:4 +23:3,A0 D3 04 09 00 03 00 00,00 0F 00 02 00 05 00 20 00 6B 00 08 02 00 00 94
cluster_A_many_evo_ids_probably_menu_or_logic,0x09485B,512,tsunomon_to_gabumon,2,-10:4 -9:9 -7:3 -3:2 +3:5 +9:8 +10:2 +16:4 +19:3 +21:3 +23:3,00 03 00 00 00 02 00 0F,00 05 00 20 00 6B 00 08 02 00 00 94 A0 CB 04 0A
cluster_A_many_evo_ids_probably_menu_or_logic,0x094864,520,piyomon_to_birdramon,3,-12:2 -8:2 -6:5 +7:4 +10:3 +12:3 +14:3 +18:2,02 00 05 00 20 00 6B 00,00 00 94 A0 CB 04 0A 00 03 00 03 00 03 00 10 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094875,512,tsunomon_to_gabumon,2,-10:4 -7:3 -5:3 -3:3 +9:8 +10:2 +12:2 +16:4 +17:8 +19:3 +21:3,00 03 00 03 00 03 00 10,00 0F 00 28 00 6C 00 08 02 0F 02 95 A0 B2 04 08
cluster_A_many_evo_ids_probably_menu_or_logic,0x09487E,520,piyomon_to_birdramon,3,-12:3 -8:2 +3:2 +7:4 +8:8 +10:3 +12:3 +18:3,02 00 0F 00 28 00 6C 00,0F 02 95 A0 B2 04 08 00 03 00 03 00 00 00 11 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094880,527,birdramon_to_garudamon,3,-10:2 -2:8 -1:2 +5:4 +6:8 +8:3 +10:3 +16:3,0F 00 28 00 6C 00 08 02,95 A0 B2 04 08 00 03 00 03 00 00 00 11 00 03 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0948B1,512,tsunomon_to_gabumon,2,-11:1 -7:3 -3:3 -1:5 +2:2 +8:4 +9:9 +11:4 +15:2 +19:3 +21:5,00 03 00 00 00 03 00 05,02 00 00 C6 A0 BB 04 09 00 04 00 00 00 02 00 13
cluster_A_many_evo_ids_probably_menu_or_logic,0x0948B2,514,mochimon_to_tentomon,4,-12:1 -8:3 -4:3 -2:5 +7:4 +8:9 +10:4 +14:2 +18:3 +20:5,03 00 00 00 03 00 05 00,00 00 C6 A0 BB 04 09 00 04 00 00 00 02 00 13 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0948BF,512,tsunomon_to_gabumon,2,-12:2 -6:4 -5:9 -3:4 +5:3 +7:5 +13:9 +14:2 +20:4 +21:9 +23:4,A0 BB 04 09 00 04 00 00,00 13 00 03 00 05 00 21 00 6E 00 09 02 00 00 C7
cluster_A_many_evo_ids_probably_menu_or_logic,0x0948CC,521,tentomon_to_kabuterimon,4,-12:2 -8:3 -6:5 +7:4 +8:9 +10:4 +12:3 +14:3 +18:3,03 00 05 00 21 00 6E 00,00 00 C7 A0 B4 04 09 00 04 00 03 00 03 00 14 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0948E6,521,tentomon_to_kabuterimon,4,-12:3 -8:3 +3:2 +7:4 +10:4 +12:3 +18:4,03 00 0F 00 29 00 6F 00,10 02 C8 A0 CD 04 0A 00 04 00 03 00 00 00 15 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0948E8,528,kabuterimon_to_atlurkabuterimon,4,-10:3 -2:9 -1:2 +5:4 +8:4 +10:3 +16:4,0F 00 29 00 6F 00 09 02,C8 A0 CD 04 0A 00 04 00 03 00 00 00 15 00 04 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x09491A,515,tanemon_to_palmon,5,-12:1 -8:4 -4:4 -2:6 +7:4 +10:5 +14:2 +18:4 +20:5,04 00 00 00 04 00 06 00,00 00 6E A0 D8 04 0A 00 05 00 00 00 02 00 17 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094927,512,tsunomon_to_gabumon,2,-12:2 -6:4 -3:5 +5:4 +7:5 +14:2 +20:4 +23:5,A0 D8 04 0A 00 05 00 00,00 17 00 04 00 05 00 22 00 71 00 0A 02 00 00 6F
cluster_A_many_evo_ids_probably_menu_or_logic,0x094934,522,palmon_to_togemon,5,-12:2 -8:4 -6:5 +7:4 +10:5 +12:3 +14:3 +18:4,04 00 05 00 22 00 71 00,00 00 6F A0 C5 04 0A 00 05 00 03 00 03 00 18 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x09494E,522,palmon_to_togemon,5,-12:3 -8:4 +3:2 +7:4 +8:9 +10:5 +12:3 +18:5,04 00 0F 00 2A 00 72 00,11 02 70 A0 B4 04 09 00 05 00 03 00 00 00 19 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094950,529,togemon_to_lilimon,5,-10:4 -1:2 +5:4 +6:9 +8:5 +10:3 +16:5,0F 00 2A 00 72 00 0A 02,70 A0 B4 04 09 00 05 00 03 00 00 00 19 00 05 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094982,516,pukamon_to_gomamon,6,-12:1 -8:5 -4:5 -2:7 +7:4 +8:9 +10:6 +14:2 +18:5 +20:5,05 00 00 00 05 00 07 00,00 00 3C A0 CE 04 09 00 06 00 00 00 02 00 1B 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x09498F,512,tsunomon_to_gabumon,2,-12:2 -6:4 -5:9 -3:6 +5:5 +7:5 +14:2 +20:4 +23:6,A0 CE 04 09 00 06 00 00,00 1B 00 05 00 05 00 23 00 74 00 0B 02 00 00 3D
cluster_A_many_evo_ids_probably_menu_or_logic,0x09499C,523,gomamon_to_ikkakumon,6,-12:2 -8:5 -6:5 +7:4 +10:6 +12:3 +14:3 +18:5,05 00 05 00 23 00 74 00,00 00 3D A0 CF 04 0A 00 06 00 03 00 03 00 1C 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0949B6,523,gomamon_to_ikkakumon,6,-12:3 -8:5 +3:2 +7:4 +8:9 +10:6 +12:3 +18:6,05 00 0F 00 2B 00 75 00,12 02 3E A0 C2 04 09 00 06 00 03 00 00 00 1D 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0949B8,530,ikkakumon_to_zudomon,6,-10:5 -1:2 +5:4 +6:9 +8:6 +10:3 +16:6,0F 00 2B 00 75 00 0B 02,3E A0 C2 04 09 00 06 00 03 00 00 00 1D 00 06 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0949EA,517,tokomon_to_patamon,7,-12:1 -8:6 -4:6 -2:8 +7:4 +10:7 +14:2 +18:6 +20:5,06 00 00 00 06 00 08 00,00 00 81 A0 C0 04 0D 00 07 00 00 00 02 00 1F 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0949F7,512,tsunomon_to_gabumon,2,-12:2 -6:4 -3:7 +5:6 +7:5 +14:2 +20:4 +23:7,A0 C0 04 0D 00 07 00 00,00 1F 00 06 00 05 00 24 00 77 00 0C 02 00 00 82
cluster_A_many_evo_ids_probably_menu_or_logic,0x094A04,524,patamon_to_angemon,7,-12:2 -8:6 -6:5 +7:4 +10:7 +12:3 +14:3 +18:6,06 00 05 00 24 00 77 00,00 00 82 A0 BC 04 0A 00 07 00 03 00 03 00 20 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094A1E,524,patamon_to_angemon,7,-12:3 -8:6 +3:2 +7:4 +8:9 +10:7 +12:3 +14:2 +18:7 +22:7,06 00 0F 00 2C 00 78 00,13 02 84 A0 B9 04 09 00 07 00 03 00 02 00 21 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094A20,531,angemon_to_holyangemon,7,-10:6 -1:2 +5:4 +6:9 +8:7 +10:3 +12:2 +16:7 +20:7 +22:9,0F 00 2C 00 78 00 0C 02,84 A0 B9 04 09 00 07 00 03 00 02 00 21 00 07 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094A2B,512,tsunomon_to_gabumon,2,-12:2 -10:2 -6:4 -5:9 -3:7 -1:3 +5:7 +9:7 +11:9 +20:4 +23:8,A0 B9 04 09 00 07 00 03,00 21 00 07 00 00 00 07 00 09 00 00 00 00 00 B9
cluster_A_many_evo_ids_probably_menu_or_logic,0x094A52,532,tailmon_to_angewomon,8,-12:3 -8:7 +7:4 +8:9 +10:8 +12:3 +14:3 +18:8 +22:8,07 00 14 00 2D 00 79 00,00 00 BB A0 B6 04 09 00 08 00 03 00 03 00 23 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094A8F,512,tsunomon_to_gabumon,2,-2:4 -1:9 +3:3 +7:4 +9:1 +11:5 +13:2 +15:6 +17:3 +19:7 +21:4 +23:2,00 00 00 0F 00 B9 04 09,00 03 00 00 00 04 00 01 00 05 00 02 00 06 00 03
cluster_A_many_evo_ids_probably_menu_or_logic,0x094A9B,512,tsunomon_to_gabumon,2,-11:2 -9:3 -5:4 -3:1 -1:5 +3:6 +5:3 +7:7 +9:4 +11:2 +13:5 +17:3 +19:1 +21:7 +23:6,00 00 00 04 00 01 00 05,00 06 00 03 00 07 00 04 00 02 00 05 00 00 00 03
cluster_A_many_evo_ids_probably_menu_or_logic,0x094AA5,512,tsunomon_to_gabumon,2,-11:5 -9:2 -7:6 -5:3 -3:7 -1:4 +3:5 +7:3 +9:1 +11:7 +13:6 +15:2 +17:4 +19:3 +23:5,00 06 00 03 00 07 00 04,00 05 00 00 00 03 00 01 00 07 00 06 00 02 00 04
cluster_A_many_evo_ids_probably_menu_or_logic,0x094AB3,512,tsunomon_to_gabumon,2,-11:5 -7:3 -5:1 -3:7 -1:6 +3:4 +5:3 +9:5 +11:1 +13:6 +15:7 +23:1,00 03 00 01 00 07 00 06,00 04 00 03 00 00 00 05 00 01 00 06 00 07 00 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094ACF,512,tsunomon_to_gabumon,2,-5:1 +7:3 +13:4 +19:5,00 D4 00 01 00 93 00 D5,00 94 00 D6 00 03 00 95 00 D7 00 04 00 96 00 D8
cluster_A_many_evo_ids_probably_menu_or_logic,0x094BB7,512,tsunomon_to_gabumon,2,-5:5 -3:6 +9:5 +15:3 +23:5,00 74 35 05 00 06 00 25,00 8D 00 E5 00 86 35 05 00 0A 00 26 00 03 00 8E
cluster_A_many_evo_ids_probably_menu_or_logic,0x094C0B,512,tsunomon_to_gabumon,2,-6:1 -5:4 -3:1 -1:1 +3:3 +5:4 +7:5 +9:6 +17:1,00 2C 01 04 00 01 E0 01,00 03 00 04 00 05 00 06 00 00 00 00 00 00 00 01
cluster_A_many_evo_ids_probably_menu_or_logic,0x094C23,512,tsunomon_to_gabumon,2,-7:1 +3:2 +5:4 +9:1 +11:1 +13:1 +23:1,00 01 00 7F 00 00 00 0C,00 02 00 04 00 0C 00 01 00 01 00 01 00 DB 00 FF
cluster_A_many_evo_ids_probably_menu_or_logic,0x094C25,512,tsunomon_to_gabumon,2,-9:1 -1:2 +3:4 +7:1 +9:1 +11:1 +21:1,00 7F 00 00 00 0C 00 02,00 04 00 0C 00 01 00 01 00 01 00 DB 00 FF FF 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094C5B,512,tsunomon_to_gabumon,2,+9:1 +11:2 +13:2 +23:2,00 7F 00 0A 00 00 00 0A,00 00 00 0A 00 0A 00 01 00 02 00 02 00 DB 00 FF
cluster_A_many_evo_ids_probably_menu_or_logic,0x094C65,512,tsunomon_to_gabumon,2,-9:2 -1:1 +3:2 +13:2 +16:1 +17:5 +19:1 +21:2,00 00 00 0A 00 0A 00 01,00 02 00 DB 00 FF FF 00 00 00 00 02 00 F4 01 05
cluster_A_many_evo_ids_probably_menu_or_logic,0x094C67,512,tsunomon_to_gabumon,2,-11:2 -3:1 -1:2 +11:2 +14:1 +15:5 +17:1 +19:2,00 0A 00 0A 00 01 00 02,00 DB 00 FF FF 00 00 00 00 02 00 F4 01 05 00 01
cluster_A_many_evo_ids_probably_menu_or_logic,0x094C71,512,tsunomon_to_gabumon,2,-11:2 -9:2 +4:1 +5:5 +7:1 +9:2 +19:2 +23:1,00 DB 00 FF FF 00 00 00,00 F4 01 05 00 01 E0 02 00 00 00 00 00 00 00 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094C83,512,tsunomon_to_gabumon,2,-11:1 -9:2 +5:1 +7:1 +9:2 +17:2 +19:1 +21:8,00 00 00 00 00 00 00 00,00 00 00 01 00 01 00 02 00 7F 00 00 00 0F 00 02
cluster_A_many_evo_ids_probably_menu_or_logic,0x094C8B,512,tsunomon_to_gabumon,2,-7:2 -3:1 -1:1 +9:2 +11:1 +13:8 +17:1 +21:3 +23:4,00 02 00 00 00 01 00 01,00 7F 00 00 00 0F 00 02 00 01 00 08 00 0F 00 01
cluster_A_many_evo_ids_probably_menu_or_logic,0x094C93,512,tsunomon_to_gabumon,2,-11:1 -9:1 -7:2 +3:1 +5:8 +9:1 +13:3 +15:4 +23:3,00 02 00 7F 00 00 00 0F,00 01 00 08 00 0F 00 01 00 34 00 03 00 04 00 FF
cluster_A_many_evo_ids_probably_menu_or_logic,0x094CCB,512,tsunomon_to_gabumon,2,-3:1 +3:1 +9:1 +13:5 +23:4,00 7F 00 0B 00 01 00 0B,00 01 00 0B 00 0B 00 01 00 26 00 05 00 DB 00 FF
cluster_A_many_evo_ids_probably_menu_or_logic,0x094D03,512,tsunomon_to_gabumon,2,-3:3 +3:1 +9:1 +21:1 +23:5,00 7F 00 0E 00 03 00 0E,00 01 00 0B 00 0E 00 01 00 18 00 DB 00 DB 00 FF
cluster_A_many_evo_ids_probably_menu_or_logic,0x094D3B,512,tsunomon_to_gabumon,2,,00 7F 00 0C 00 00 00 0C,00 02 00 04 00 0C 00 01 00 32 00 06 00 DB 00 FF
cluster_B_scene_commands_candidate,0x167F24,512,tsunomon_to_gabumon,2,+4:3 +21:1,11 00 08 00 0B 00 80 00,00 00 03 00 00 00 00 00 00 00 00 10 00 00 00 00
cluster_B_scene_commands_candidate,0x167F66,512,tsunomon_to_gabumon,2,-12:3 -10:3 -6:8 +4:3 +21:1,0B 00 08 00 0B 00 80 00,00 00 03 00 00 00 00 00 00 00 00 10 00 00 00 00
cluster_B_scene_commands_candidate,0x167F99,511,koromon_to_agumon,1,+3:3 +5:3 +7:3 +19:8,00 FF 7F DA 0F 4C 00 FF,00 03 00 03 00 03 00 D0 FF 30 00 60 FF B0 FF F8
cluster_B_scene_commands_candidate,0x167FBF,512,tsunomon_to_gabumon,2,-2:1 -1:1 +4:8 +11:5 +13:5,FF 71 00 80 00 00 01 01,00 00 08 00 10 0F 00 0F 00 05 00 05 00 40 00 40
cluster_B_scene_commands_candidate,0x167FFF,513,pyocomon_to_piyomon,3,-2:1 +6:8 +13:5 +15:5,10 EA FF 16 00 00 01 00,00 0C 00 00 08 00 10 1E 00 1E 00 05 00 05 00 F0
cluster_B_scene_commands_candidate,0x1680F4,511,koromon_to_agumon,1,-11:1 -9:1 -7:1 -5:1 -3:1 -1:1 +2:6 +3:2 +5:2 +7:2 +9:2 +11:2 +13:2 +15:2 +17:2 +19:2 +21:2 +23:2,E1 01 E9 01 F1 01 FB 01,06 02 0D 02 16 02 18 02 19 02 1E 02 26 02 2E 02
cluster_B_scene_commands_candidate,0x1680F6,518,agumon_to_greymon,1,-11:1 -9:1 -7:1 -5:1 -3:1 -1:1 +3:2 +5:2 +7:2 +9:2 +11:2 +13:2 +15:2 +17:2 +19:2 +21:2 +23:2,E9 01 F1 01 FB 01 FF 01,0D 02 16 02 18 02 19 02 1E 02 26 02 2E 02 36 02
cluster_B_scene_commands_candidate,0x1680F8,525,greymon_to_metalgreymon,1,-11:1 -9:1 -7:1 -5:1 -3:1 -2:6 -1:2 +3:2 +5:2 +7:2 +9:2 +11:2 +13:2 +15:2 +17:2 +19:2 +21:2 +23:2,F1 01 FB 01 FF 01 06 02,16 02 18 02 19 02 1E 02 26 02 2E 02 36 02 3C 02
cluster_B_scene_commands_candidate,0x1680FA,534,agumon_warp_to_wargreymon,1,-11:1 -9:1 -7:1 -5:1 -4:6 -3:2 -1:2 +3:2 +5:2 +7:2 +9:2 +11:2 +13:2 +15:2 +17:2 +19:2 +21:2 +23:2,FB 01 FF 01 06 02 0D 02,18 02 19 02 1E 02 26 02 2E 02 36 02 3C 02 3F 02
cluster_B_scene_commands_candidate,0x1680FC,536,wargreymon_metalgarurumon_omegamon,99,-11:1 -9:1 -7:1 -6:6 -5:2 -3:2 -1:2 +3:2 +5:2 +7:2 +9:2 +11:2 +13:2 +15:2 +17:2 +19:2 +21:2 +23:2,FF 01 06 02 0D 02 16 02,19 02 1E 02 26 02 2E 02 36 02 3C 02 3F 02 48 02
cluster_B_scene_commands_candidate,0x1680FE,537,unknown_537,,-11:1 -9:1 -8:6 -7:2 -5:2 -3:2 -1:2 +3:2 +5:2 +7:2 +9:2 +11:2 +13:2 +15:2 +17:2 +19:2 +21:2 +23:2,06 02 0D 02 16 02 18 02,1E 02 26 02 2E 02 36 02 3C 02 3F 02 48 02 51 02
cluster_B_scene_commands_candidate,0x1682F2,513,pyocomon_to_piyomon,3,-11:1 -9:1 -7:1 -5:1 -3:1 -1:1 +2:6 +3:2 +5:2 +7:2 +9:2 +11:2 +13:2 +15:2 +17:2 +19:2 +21:2 +23:2,EA 01 F0 01 F4 01 FC 01,06 02 0C 02 11 02 16 02 1B 02 20 02 25 02 29 02
cluster_B_scene_commands_candidate,0x1682F4,518,agumon_to_greymon,1,-11:1 -9:1 -7:1 -5:1 -3:1 -2:1 -1:2 +3:2 +5:2 +7:2 +9:2 +11:2 +13:2 +15:2 +17:2 +19:2 +21:2 +23:2,F0 01 F4 01 FC 01 01 02,0C 02 11 02 16 02 1B 02 20 02 25 02 29 02 2F 02
cluster_B_scene_commands_candidate,0x1682F6,524,patamon_to_angemon,7,-11:1 -9:1 -7:1 -5:1 -4:1 -3:2 -2:6 -1:2 +3:2 +5:2 +7:2 +9:2 +11:2 +13:2 +15:2 +17:2 +19:2 +21:2 +23:2,F4 01 FC 01 01 02 06 02,11 02 16 02 1B 02 20 02 25 02 29 02 2F 02 34 02
cluster_B_scene_commands_candidate,0x1682F8,529,togemon_to_lilimon,5,-11:1 -9:1 -7:1 -6:1 -5:2 -4:6 -3:2 -1:2 +3:2 +5:2 +7:2 +9:2 +11:2 +13:2 +15:2 +17:2 +19:2 +21:2 +23:2,FC 01 01 02 06 02 0C 02,16 02 1B 02 20 02 25 02 29 02 2F 02 34 02 3D 02
