original,new
chunk_0076.a18.wav,shurimon_momiji_oroshi.wav
chunk_0077.a18.wav,shurimon_kusanagi.wav
chunk_0078.a18.wav,shurimon_konoha_kakure.wav
chunk_0079.a18.wav,hawkmon_dialogue4.wav
chunk_0080.a18.wav,hawkmon_shinka.wav
chunk_0081.a18.wav,hawkmon_intro.wav
chunk_0082.a18.wav,hawkmon_dialogue5.wav
chunk_0083.a18.wav,hawkmon_dialogue6.wav
chunk_0084.a18.wav,hawkmon_dialogue7.wav
chunk_0085.a18.wav,aquilamon_blast_laser.wav
chunk_0086.a18.wav,aquilamon_glide_horn.wav
chunk_0087.a18.wav,aquilamon2.wav
chunk_0088.a18.wav,holsmon.wav
chunk_0089.a18.wav,holsmon_red_sun.wav
chunk_0090.a18.wav,vmon_dialogue5.wav
chunk_0091.a18.wav,vmon_dialogue6.wav
chunk_0092.a18.wav,lighdramon_thunderbolt.wav
chunk_0093.a18.wav,patamon_armor_shinka.wav
chunk_0094.a18.wav,patamon_dialogue7.wav
chunk_0095.a18.wav,pegasmon.wav
chunk_0096.a18.wav,pegasmon_needle_rain.wav
chunk_0097.a18.wav,pegasmon_shooting_star.wav
chunk_0098.a18.wav,pegasmon_silver_blaze.wav
chunk_0099.a18.wav,seraphimon.wav
chunk_0100.a18.wav,daisuke_dialogue7.wav
chunk_0101.a18.wav,ken_digital_gate_open.wav
chunk_0102.a18.wav,magnamon_magnum_punch.wav
chunk_0103.a18.wav,magnamon_magnum_kick.wav
chunk_0104.a18.wav,vmon_intro.wav
chunk_0105.a18.wav,stop.wav
