map_id,region_id,area_id,steps,encounter_type,friend_digimon_id,skip1,skip2,skip3,skip4,skip5,skip6,skip7,skip8,skip9,skip10,friend_digimon_id_2,encounter_type_2,friend_digimon_id_3,enemy_stage,battle_type,shake_mash_follow_win_count,friend_digimon_id_4,min_stage_required,unknown1,unknown2,unknown3,skip11
1,7,35,400,4,57345,5,2,6,6,6,4,3,5,7,7,127,0,17,2,0,10,17,1,52,36,38,65535
1,7,36,500,6,57345,6,4,1,4,0,1,5,4,1,6,127,0,12,2,2,4,12,1,10,37,219,65535
1,7,37,500,1,23,127,127,127,127,127,127,127,127,127,127,23,1,23,2,0,12,23,1,9,39,219,65535
1,7,38,1000,3,16,127,127,127,127,127,127,127,127,127,127,16,3,16,2,1,11,16,1,42,219,219,65535
1,8,39,300,5,57345,5,3,6,2,5,2,1,2,3,2,127,0,10,2,0,10,10,1,52,40,42,65535
1,8,40,400,7,57345,6,4,5,5,1,3,3,0,5,0,127,0,16,2,1,8,16,1,51,41,219,65535
1,8,41,500,1,24,127,127,127,127,127,127,127,127,127,127,24,1,24,2,0,13,24,1,14,43,219,65535
1,8,42,1000,3,21,127,127,127,127,127,127,127,127,127,127,21,3,21,2,1,11,21,1,27,219,219,65535
1,9,43,300,0,0,127,127,127,127,127,127,127,127,127,127,0,0,0,1,2,4,0,1,50,44,219,65535
1,9,44,400,5,57345,3,4,1,6,6,6,1,3,0,5,127,0,15,2,1,8,15,1,52,45,48,65535
1,9,45,500,0,18,127,127,127,127,127,127,127,127,127,127,18,0,18,2,1,8,18,1,13,46,219,65535
1,9,46,500,6,57345,5,5,3,1,0,3,5,4,7,3,127,0,17,2,0,10,17,1,14,47,219,65535
1,9,47,500,1,16,127,127,127,127,127,127,127,127,127,127,16,1,16,2,2,4,16,1,23,49,219,65535
1,9,48,1000,3,26,127,127,127,127,127,127,127,127,127,127,26,3,26,2,1,11,26,1,15,219,219,65535
1,10,49,300,4,57345,2,0,0,4,3,4,0,2,1,6,127,0,12,2,2,4,12,1,52,50,52,65535
1,10,50,400,7,57345,3,6,5,2,2,3,1,0,6,7,127,0,15,2,1,8,15,1,16,51,219,65535
1,10,51,500,1,19,127,127,127,127,127,127,127,127,127,127,19,1,19,2,2,4,19,1,22,53,219,65535
1,10,52,1000,3,23,127,127,127,127,127,127,127,127,127,127,23,3,23,2,1,11,23,1,44,219,219,65535
1,11,53,300,6,57345,4,4,6,5,1,1,0,5,2,4,127,0,12,2,2,4,12,1,51,54,219,65535
1,11,54,400,0,25,127,127,127,127,127,127,127,127,127,127,25,0,25,2,0,10,25,1,17,55,219,65535
1,11,55,500,4,57345,2,5,0,6,5,0,5,6,5,1,127,0,17,2,0,10,17,1,52,56,58,65535
1,11,56,500,8,25,127,127,127,127,127,127,127,127,127,127,25,8,25,6,3,0,25,6,0,57,219,65535
1,11,57,500,1,26,127,127,127,127,127,127,127,127,127,127,26,1,26,2,2,5,26,2,0,59,219,2
1,11,58,1000,3,16,127,127,127,127,127,127,127,127,127,127,16,3,16,2,2,4,16,1,45,219,219,65535
2,12,59,300,5,57345,5,6,5,1,3,6,3,4,3,7,127,0,51,3,1,8,51,2,52,60,63,65535
2,12,60,400,0,1,127,127,127,127,127,127,127,127,127,127,1,0,1,1,0,10,1,1,50,61,219,65535
2,12,61,500,7,57345,6,3,0,5,5,1,2,1,4,6,127,0,32,2,0,10,32,1,51,62,219,65535
2,12,62,500,1,49,127,127,127,127,127,127,127,127,127,127,49,1,49,3,2,4,49,2,1,64,219,65535
2,12,63,1000,3,28,127,127,127,127,127,127,127,127,127,127,28,3,28,2,0,12,28,1,26,219,219,65535
2,13,64,300,4,57345,4,6,4,2,6,2,2,0,1,3,127,0,52,3,0,10,52,2,48,65,219,65535
2,13,65,400,5,57345,6,2,5,5,2,0,4,2,5,0,127,0,33,2,2,4,33,1,52,66,67,65535
2,13,66,500,1,27,127,127,127,127,127,127,127,127,127,127,27,1,27,2,1,11,27,1,46,68,219,65535
2,13,67,1000,3,29,127,127,127,127,127,127,127,127,127,127,29,3,29,2,0,12,29,1,21,219,219,65535
2,14,68,300,7,57345,1,0,3,0,3,2,1,5,0,1,127,0,34,2,1,8,34,1,52,69,71,65535
2,14,69,400,6,57345,2,2,1,4,0,6,3,4,2,3,127,0,35,2,0,10,35,1,38,70,219,65535
2,14,70,500,1,28,127,127,127,127,127,127,127,127,127,127,28,1,28,2,2,4,28,1,7,72,219,65535
2,14,71,1000,3,49,127,127,127,127,127,127,127,127,127,127,49,3,49,3,1,11,49,2,4,219,219,65535
2,15,72,300,4,57345,5,5,3,5,1,3,3,1,6,4,127,0,51,3,1,8,51,2,52,73,75,65535
2,15,73,400,7,57345,1,3,4,6,6,1,4,6,5,2,127,0,1,1,0,10,1,1,39,74,219,65535
2,15,74,500,1,29,127,127,127,127,127,127,127,127,127,127,29,1,29,2,0,12,29,1,11,76,219,65535
2,15,75,1000,3,2,127,127,127,127,127,127,127,127,127,127,2,3,2,1,2,4,2,1,3,219,219,65535
2,16,76,300,0,51,127,127,127,127,127,127,127,127,127,127,51,0,51,3,1,8,51,2,50,77,219,65535
2,16,77,400,5,57345,3,5,6,1,5,4,4,3,7,7,127,0,32,2,0,10,32,1,52,78,80,65535
2,16,78,500,6,57345,6,6,1,0,2,6,2,4,2,5,127,0,52,3,0,10,52,2,51,79,219,65535
2,16,79,500,1,49,127,127,127,127,127,127,127,127,127,127,49,1,49,3,2,4,49,2,1,81,219,65535
2,16,80,1000,3,30,127,127,127,127,127,127,127,127,127,127,30,3,30,2,0,12,30,1,40,219,219,65535
2,17,81,300,7,57345,5,0,4,1,0,4,4,6,3,1,127,0,33,2,2,4,33,1,52,82,84,65535
2,17,82,400,6,57345,2,3,5,4,5,1,1,2,1,4,127,0,34,2,1,8,34,1,14,83,219,65535
2,17,83,500,1,2,127,127,127,127,127,127,127,127,127,127,2,1,2,1,2,4,2,1,9,85,219,65535
2,17,84,1000,3,53,127,127,127,127,127,127,127,127,127,127,53,3,53,3,1,11,53,2,10,219,219,65535
2,18,85,300,0,52,127,127,127,127,127,127,127,127,127,127,52,0,52,3,0,10,52,2,50,86,219,65535
2,18,86,400,5,57345,4,0,4,5,1,4,5,1,0,3,127,0,35,2,0,10,35,1,52,87,89,65535
2,18,87,500,4,57345,3,5,1,0,2,6,4,3,4,2,127,0,1,1,0,10,1,1,17,88,219,65535
2,18,88,500,1,30,127,127,127,127,127,127,127,127,127,127,30,1,30,2,2,4,30,1,6,90,219,65535
2,18,89,1000,3,54,127,127,127,127,127,127,127,127,127,127,54,3,54,3,0,12,54,2,16,219,219,65535
2,19,90,300,6,57345,1,3,3,2,0,0,5,4,5,0,127,0,34,2,1,8,34,1,52,91,93,65535
2,19,91,400,7,57345,6,2,6,6,3,4,0,6,7,5,127,0,33,2,2,4,33,1,51,92,219,65535
2,19,92,500,1,53,127,127,127,127,127,127,127,127,127,127,53,1,53,3,2,4,53,2,40,94,219,65535
2,19,93,1000,3,49,127,127,127,127,127,127,127,127,127,127,49,3,49,3,1,11,49,2,45,219,219,65535
2,20,94,300,8,31,127,127,127,127,127,127,127,127,127,127,31,8,31,6,3,0,31,6,0,95,219,65535
2,20,95,400,4,57345,4,3,0,4,5,3,0,2,6,6,127,0,52,3,0,10,52,2,52,96,99,65535
2,20,96,500,8,3,127,127,127,127,127,127,127,127,127,127,3,8,3,6,3,0,3,6,0,97,219,65535
2,20,97,500,5,57345,5,4,4,1,1,2,2,3,1,4,127,0,32,2,0,10,32,1,51,98,219,65535
2,20,98,500,1,54,127,127,127,127,127,127,127,127,127,127,54,1,54,3,0,12,54,2,13,100,219,65535
2,20,99,1000,3,28,127,127,127,127,127,127,127,127,127,127,28,3,28,2,1,11,28,1,41,219,219,65535
2,21,100,300,0,32,127,127,127,127,127,127,127,127,127,127,32,0,32,2,0,10,32,1,7,101,219,65535
2,21,101,400,0,33,127,127,127,127,127,127,127,127,127,127,33,0,33,2,2,4,33,1,52,102,105,65535
2,21,102,500,0,34,127,127,127,127,127,127,127,127,127,127,34,0,34,2,1,8,34,1,11,103,219,65535
2,21,103,500,0,35,127,127,127,127,127,127,127,127,127,127,35,0,35,2,0,10,35,1,22,104,219,65535
2,21,104,500,1,55,127,127,127,127,127,127,127,127,127,127,55,1,55,3,0,15,55,3,0,106,219,3
2,21,105,1000,3,27,127,127,127,127,127,127,127,127,127,127,27,3,27,2,2,4,27,1,21,219,219,65535
3,22,106,300,4,57345,3,0,4,1,5,1,3,5,4,2,127,0,5,1,2,4,5,1,52,107,110,65535
3,22,107,400,0,66,127,127,127,127,127,127,127,127,127,127,66,0,66,3,1,8,66,2,15,108,219,65535
3,22,108,500,7,57345,4,2,6,4,1,3,5,6,2,0,127,0,38,2,0,10,38,1,12,109,219,65535
3,22,109,500,1,56,127,127,127,127,127,127,127,127,127,127,56,1,56,3,0,12,56,2,49,111,219,65535
3,22,110,1000,3,37,127,127,127,127,127,127,127,127,127,127,37,3,37,2,2,4,37,1,24,219,219,65535
3,23,111,300,6,57345,6,3,3,2,3,4,4,3,7,5,127,0,39,2,1,8,39,1,52,112,114,65535
3,23,112,400,5,57345,5,2,6,6,6,6,1,0,3,3,127,0,40,2,2,4,40,1,50,113,219,65535
3,23,113,500,1,36,127,127,127,127,127,127,127,127,127,127,36,1,36,2,1,11,36,1,8,115,219,65535
3,23,114,1000,3,57,127,127,127,127,127,127,127,127,127,127,57,3,57,3,0,12,57,2,43,219,219,65535
3,24,115,300,4,57345,1,3,1,5,2,0,4,5,1,1,127,0,59,3,1,8,59,2,52,116,118,65535
3,24,116,400,5,57345,2,4,5,0,3,2,1,3,0,0,127,0,60,3,0,10,60,2,48,117,219,65535
3,24,117,500,1,37,127,127,127,127,127,127,127,127,127,127,37,1,37,2,2,4,37,1,44,119,219,65535
3,24,118,1000,3,56,127,127,127,127,127,127,127,127,127,127,56,3,56,3,1,11,56,2,42,219,219,65535
3,25,119,300,6,57345,4,6,4,1,6,3,2,6,4,6,127,0,66,3,1,8,66,2,52,120,122,65535
3,25,120,400,7,57345,3,5,6,4,2,2,0,2,6,5,127,0,38,2,0,10,38,1,50,121,219,65535
3,25,121,500,1,57,127,127,127,127,127,127,127,127,127,127,57,1,57,3,0,12,57,2,41,123,219,65535
3,25,122,1000,3,36,127,127,127,127,127,127,127,127,127,127,36,3,36,2,1,11,36,1,46,219,219,65535
3,26,123,300,8,58,127,127,127,127,127,127,127,127,127,127,58,8,58,6,3,0,58,6,0,124,219,65535
3,26,124,400,8,4,127,127,127,127,127,127,127,127,127,127,4,8,4,6,3,0,4,6,0,125,219,65535
3,26,125,500,4,57345,7,7,7,7,7,7,7,0,7,7,83,0,18,2,0,10,18,1,0,126,219,65535
3,26,126,500,5,57345,7,7,7,7,7,7,7,0,7,7,127,0,39,2,1,8,39,1,52,127,128,65535
3,26,127,500,1,55,127,127,127,127,127,127,127,127,127,127,55,1,55,3,1,11,55,2,30,129,219,65535
3,26,128,1000,3,56,127,127,127,127,127,127,127,127,127,127,56,3,56,3,0,12,56,2,25,219,219,65535
3,27,129,300,0,5,127,127,127,127,127,127,127,127,127,127,5,0,5,1,2,4,5,1,19,130,219,65535
3,27,130,400,0,38,127,127,127,127,127,127,127,127,127,127,38,0,38,2,0,10,38,1,52,131,137,65535
3,27,131,500,0,39,127,127,127,127,127,127,127,127,127,127,39,0,39,2,1,8,39,1,20,132,219,65535
3,27,132,500,0,40,127,127,127,127,127,127,127,127,127,127,40,0,40,2,2,4,40,1,51,133,219,65535
3,27,133,500,0,59,127,127,127,127,127,127,127,127,127,127,59,0,59,3,1,8,59,2,15,134,219,65535
3,27,134,500,0,60,127,127,127,127,127,127,127,127,127,127,60,0,60,3,0,10,60,2,50,135,219,65535
3,27,135,500,0,55,127,127,127,127,127,127,127,127,127,127,55,0,55,3,2,4,55,2,30,136,219,65535
3,27,136,500,1,73,127,127,127,127,127,127,127,127,127,127,73,1,73,4,2,5,73,3,0,138,219,4
3,27,137,1000,3,57,127,127,127,127,127,127,127,127,127,127,57,3,57,3,0,12,57,2,26,219,219,65535
4,28,138,300,6,57345,7,4,5,0,0,3,7,1,0,4,127,0,61,3,2,4,61,2,13,139,219,65535
4,28,139,400,0,74,127,127,127,127,127,127,127,127,127,127,74,0,74,4,2,4,74,3,52,140,142,65535
4,28,140,500,7,57345,6,7,0,5,3,7,2,2,2,3,127,0,62,3,1,8,62,2,18,141,219,65535
4,28,141,500,1,75,127,127,127,127,127,127,127,127,127,127,75,1,75,4,0,12,75,3,21,143,219,65535
4,28,142,1000,3,76,127,127,127,127,127,127,127,127,127,127,76,3,76,4,2,4,76,3,27,219,219,65535
4,29,143,300,4,57345,3,5,7,6,7,0,1,3,3,2,127,0,41,2,2,4,41,1,52,144,147,65535
4,29,144,400,8,50,127,127,127,127,127,127,127,127,127,127,50,8,50,6,3,0,50,6,0,145,219,65535
4,29,145,500,5,57345,7,6,1,7,6,4,4,5,4,1,127,0,64,3,0,10,64,2,51,146,219,65535
4,29,146,500,1,77,127,127,127,127,127,127,127,127,127,127,77,1,77,4,2,4,77,3,49,148,219,65535
4,29,147,1000,3,78,127,127,127,127,127,127,127,127,127,127,78,3,78,4,1,11,78,3,28,219,219,65535
4,30,148,300,0,11,127,127,127,127,127,127,127,127,127,127,11,0,11,2,0,10,11,1,2,149,219,65535
4,30,149,400,0,61,127,127,127,127,127,127,127,127,127,127,61,0,61,3,2,4,61,2,52,150,152,65535
4,30,150,500,0,62,127,127,127,127,127,127,127,127,127,127,62,0,62,3,1,8,62,2,3,151,219,65535
4,30,151,500,1,74,127,127,127,127,127,127,127,127,127,127,74,1,74,4,0,12,74,3,8,153,219,65535
4,30,152,1000,3,76,127,127,127,127,127,127,127,127,127,127,76,3,76,4,1,11,76,3,29,219,219,65535
4,31,153,300,0,41,127,127,127,127,127,127,127,127,127,127,41,0,41,2,2,4,41,1,6,154,219,65535
4,31,154,400,0,64,127,127,127,127,127,127,127,127,127,127,64,0,64,3,0,10,64,2,44,155,219,65535
4,31,155,500,0,65,127,127,127,127,127,127,127,127,127,127,65,0,65,3,1,8,65,2,50,156,219,65535
4,31,156,500,0,42,127,127,127,127,127,127,127,127,127,127,42,0,42,2,2,4,42,1,39,157,219,65535
4,31,157,500,0,18,127,127,127,127,127,127,127,127,127,127,18,0,18,2,1,8,18,1,51,158,219,65535
4,31,158,500,1,78,127,127,127,127,127,127,127,127,127,127,78,1,78,4,0,12,78,3,47,159,219,65535
4,31,159,500,0,7,127,127,127,127,127,127,127,127,127,127,7,0,7,1,0,10,7,1,5,160,219,65535
4,31,160,500,0,67,127,127,127,127,127,127,127,127,127,127,67,0,67,3,1,8,67,2,50,161,219,65535
4,31,161,500,8,79,127,127,127,127,127,127,127,127,127,127,79,8,79,6,3,0,79,6,0,162,219,65535
4,31,162,500,0,43,127,127,127,127,127,127,127,127,127,127,43,0,43,2,2,4,43,1,51,163,219,65535
4,31,163,500,0,6,127,127,127,127,127,127,127,127,127,127,6,0,6,1,0,10,6,1,49,164,219,65535
4,31,164,500,0,63,127,127,127,127,127,127,127,127,127,127,63,0,63,3,1,8,63,2,43,165,219,65535
4,31,165,500,1,76,127,127,127,127,127,127,127,127,127,127,76,1,76,4,2,4,76,3,28,166,219,65535
4,32,166,300,0,44,127,127,127,127,127,127,127,127,127,127,44,0,44,2,2,4,44,1,52,167,173,65535
4,32,167,400,0,45,127,127,127,127,127,127,127,127,127,127,45,0,45,2,1,8,45,1,18,168,219,65535
4,32,168,500,0,8,127,127,127,127,127,127,127,127,127,127,8,0,8,1,0,10,8,1,17,169,219,65535
4,32,169,500,0,68,127,127,127,127,127,127,127,127,127,127,68,0,68,3,2,4,68,2,12,170,219,65535
4,32,170,500,0,69,127,127,127,127,127,127,127,127,127,127,69,0,69,3,0,10,69,2,51,171,219,65535
4,32,171,500,0,70,127,127,127,127,127,127,127,127,127,127,70,0,70,3,1,8,70,2,50,172,219,65535
4,32,172,500,1,75,127,127,127,127,127,127,127,127,127,127,75,1,75,4,2,4,75,3,27,174,219,65535
4,32,173,1000,3,78,127,127,127,127,127,127,127,127,127,127,78,3,78,4,1,11,78,3,30,219,219,65535
4,33,174,300,0,46,127,127,127,127,127,127,127,127,127,127,46,0,46,2,0,10,46,1,23,175,219,65535
4,33,175,400,7,57345,1,7,0,7,0,7,0,1,3,7,127,0,7,1,0,10,7,1,52,176,179,65535
4,33,176,500,0,71,127,127,127,127,127,127,127,127,127,127,71,0,71,3,1,8,71,2,29,177,219,65535
4,33,177,500,6,57345,7,0,7,0,7,0,7,0,6,0,127,0,67,3,1,8,67,2,26,178,219,65535
4,33,178,500,1,77,127,127,127,127,127,127,127,127,127,127,77,1,77,4,2,5,77,3,0,180,219,5
4,33,179,1000,3,75,127,127,127,127,127,127,127,127,127,127,75,3,75,4,0,12,75,3,47,219,219,65535
5,34,180,2000,2,80,127,127,127,127,127,127,127,127,127,127,80,2,80,5,0,15,80,3,0,181,219,6
6,35,181,1000,0,9,127,127,127,127,127,127,127,127,127,127,9,0,9,1,1,8,9,1,0,182,219,65535
6,35,182,1000,0,72,127,127,127,127,127,127,127,127,127,127,72,0,72,3,2,4,72,2,0,183,219,65535
6,35,183,2000,2,81,127,127,127,127,127,127,127,127,127,127,81,2,81,5,0,16,81,3,0,219,219,65535
